,Company_link,company_name,flag
368,/company/APOLLOHOSP,APOLLOHOSP,1
370,/company/APOLLO,APOLLO,1
371,/company/APOLLOPIPE,APOLLOPIPE,1
372,/company/APOLSINHOT,APOLSINHOT,1
373,/company/APOLLOTYRE,APOLLOTYRE,1
376,/company/APTECHT,APTECHT,1
377,/company/APTUS,APTUS,1
379,/company/ARABIAN,ARABIAN,1
382,/company/ARAVALISEC,ARAVALISEC,1
385,/company/SSLFINANCE,SSLFINANCE,1
386,/company/ACI,ACI,1
387,/company/ADL,ADL,1
388,/company/ARCHIDPLY,ARCHIDPLY,1
389,/company/ARCHIES,ARCHIES,1
395,/company/ARHAM,ARHAM,1
396,/company/ARIES,ARIES,1
397,/company/ARIHANTACA,ARIHANTACA,1
398,/company/ARIHANTCAP,ARIHANTCAP,1
402,/company/ARIHANT,ARIHANT,1
405,/company/ARIHANTSUP,ARIHANTSUP,1
408,/company/ARISTO,ARISTO,1
410,/company/ARMANFIN,ARMANFIN,1
414,/company/AROGRANITE,AROGRANITE,1
417,/company/ARROWGREEN,ARROWGREEN,1
419,/company/ARSHIYA,ARSHIYA,1
420,/company/ARSSINFRA,ARSSINFRA,1
421,/company/ARTNIRMAN,ARTNIRMAN,1
424,/company/ARTEMISMED,ARTEMISMED,1
426,/company/ARTSONENGG,ARTSONENGG,1
427,/company/ARUNASUGAR,ARUNASUGAR,1
430,/company/ARVEE,ARVEE,1
431,/company/ACSAL,ACSAL,1
432,/company/ARVINDFASN,ARVINDFASN,1
434,/company/ARVIND,ARVIND,1
435,/company/ARVSMART,ARVSMART,1
439,/company/ASAHIINDIA,ASAHIINDIA,1
441,/company/ASAHISONG,ASAHISONG,1
444,/company/ASCOM,ASCOM,1
445,/company/ASHAPURMIN,ASHAPURMIN,1
448,/company/ASHIANA,ASHIANA,1
451,/company/ASHIMASYN,ASHIMASYN,1
457,/company/ASHOKALCO,ASHOKALCO,1
458,/company/ASHOKLEY,ASHOKLEY,1
460,/company/ASHOKA,ASHOKA,1
464,/company/ASHOKAMET,ASHOKAMET,1
467,/company/TATIASKYLN,TATIASKYLN,1
469,/company/ASOCSTONE,ASOCSTONE,1
472,/company/ASIANENE,ASIANENE,1
473,/company/ASIANTILES,ASIANTILES,1
